,mean_ic,std_ic,icir,positive_q_rate,best_q,worst_q
a158_low_vwap,0.08692869139324129,0.12853656056618767,0.6762954525181873,0.72,2025-02-28 00:00:00,2024-02-29 00:00:00
low_volatility,0.09791297330232625,0.15602192355211497,0.6275590703739852,0.74,2023-06-30 00:00:00,2024-02-29 00:00:00
a158_kl_mid_5,0.040845253731698825,0.10815328567642979,0.3776607754099917,0.58,2022-06-30 00:00:00,2023-08-31 00:00:00
reversal_20,0.0487619980952826,0.13395743028843107,0.3640111488425127,0.62,2022-10-31 00:00:00,2023-07-31 00:00:00
turnover_stability,0.031533544142429135,0.08761817945634265,0.35989727631970825,0.62,2020-12-31 00:00:00,2022-02-28 00:00:00
bottom_divergence,0.015580064548142071,0.05057594545324837,0.308052858103148,0.58,2022-10-31 00:00:00,2025-09-30 00:00:00
a158_kl_mid,0.0195919279252813,0.10666184541893632,0.18368262660682438,0.6,2022-09-30 00:00:00,2024-02-29 00:00:00
a158_kl_upper,0.00526307942268932,0.06469048992996734,0.08135785381107835,0.6,2025-07-31 00:00:00,2024-12-31 00:00:00
a158_kl_lower,0.00023109342090294152,0.058145027006743816,0.003974431396792346,0.46,2022-10-31 00:00:00,2022-09-30 00:00:00
oversold_60,-0.005343296685158077,0.12830164183928772,-0.04164636249823801,0.46,2024-02-29 00:00:00,2023-07-31 00:00:00
bottom_fractal,-0.008699826703887402,0.0648627970542092,-0.13412660413975835,0.4,2022-05-31 00:00:00,2023-06-30 00:00:00
close_position,-0.013706519578958014,0.08379589881404316,-0.16357029130238257,0.44,2025-10-31 00:00:00,2022-09-30 00:00:00
momentum_12_1,-0.030472584516243146,0.13006378330821733,-0.23428954426176463,0.4,2024-05-31 00:00:00,2023-06-30 00:00:00
trend_macd_5dim,-0.035285851745107844,0.11359704628926952,-0.3106229686223891,0.34,2023-02-28 00:00:00,2021-08-31 00:00:00
weekly_deviation,-0.04395474993065907,0.1095978332446492,-0.4010549171400251,0.42,2023-08-31 00:00:00,2024-02-29 00:00:00
volume_reversal,-0.06990017697886897,0.10240352330944272,-0.6825954295307279,0.24,2023-07-31 00:00:00,2022-10-31 00:00:00
