factor,library,dimension,category,ic_mean,ic_std,icir,win_rate,t_stat,n
bottom_fractal,custom,alpha,pattern,0.0842,0.0864,0.9746,0.84,6.8913,50
volume_reversal,custom,alpha,volume,0.0901,0.1148,0.7846,0.82,5.5482,50
low_volatility,custom,risk,volatility,0.1161,0.1516,0.7655,0.78,5.4127,50
reversal_20,custom,alpha,reversal,0.0541,0.134,0.4035,0.64,2.8533,50
momentum_12_1,custom,trend,momentum,0.0525,0.1368,0.3841,0.68,2.7159,50
weekly_deviation,custom,alpha,reversal,0.0463,0.1256,0.3688,0.58,2.608,50
close_position,custom,risk,price,0.0257,0.0811,0.3167,0.7,2.2391,50
ta_macd_hist,talib,trend,momentum,0.0273,0.1068,0.2559,0.56,1.8097,50
turnover_stability,custom,risk,volume,0.0283,0.1115,0.2537,0.6,1.794,50
a360_range_pos_30,alpha360,alpha,price,0.0307,0.1214,0.2528,0.68,1.7874,50
ta_cci_14,talib,alpha,momentum,0.0242,0.1015,0.2383,0.64,1.685,50
ta_rsi_24,talib,alpha,momentum,0.0292,0.124,0.2356,0.6,1.6659,50
a158_pct_10,alpha158,risk,volatility,0.0207,0.0892,0.2322,0.7,1.6416,50
bottom_divergence,custom,alpha,pattern,0.0141,0.0614,0.2299,0.58,1.6255,50
a158_pct_5,alpha158,risk,volatility,0.0174,0.0757,0.2292,0.6,1.6207,50
ta_willr_14,talib,alpha,momentum,0.0224,0.0995,0.2249,0.58,1.5903,50
a158_pct_20,alpha158,risk,volatility,0.0247,0.1099,0.2244,0.62,1.5864,50
ta_rsi_6,talib,alpha,momentum,0.0235,0.1055,0.2224,0.66,1.5725,50
ta_rsi_14,talib,alpha,momentum,0.0265,0.1214,0.2182,0.62,1.5426,50
ta_cmo_14,talib,alpha,momentum,0.0265,0.1214,0.2182,0.62,1.5426,50
a360_range_pos_60,alpha360,alpha,price,0.0249,0.1171,0.2128,0.58,1.505,50
a360_vwap_30,alpha360,alpha,volume,0.0266,0.1289,0.2067,0.6,1.4614,50
ta_ultosc,talib,alpha,momentum,0.0206,0.1001,0.2061,0.6,1.4571,50
a360_range_pos_20,alpha360,alpha,price,0.0226,0.1112,0.2037,0.66,1.4402,50
