2026-06-04 16:08:11,944 [INFO] scripts.optimize_target | ============================================================
2026-06-04 16:08:11,944 [INFO] scripts.optimize_target | 打字机初始化采样
2026-06-04 16:08:11,944 [INFO] scripts.optimize_target |   区间: 2025-01-01 ~ 2026-06-04
2026-06-04 16:08:11,945 [INFO] scripts.optimize_target |   参数数: 7
2026-06-04 16:08:11,945 [INFO] scripts.optimize_target |   采样组数: 30
2026-06-04 16:08:11,945 [INFO] scripts.optimize_target |   并行进程: 3
2026-06-04 16:08:11,945 [INFO] scripts.optimize_target | ============================================================
2026-06-04 16:08:11,949 [INFO] scripts.optimize_target | 已生成 30 组随机参数
2026-06-04 16:39:34,526 [INFO] scripts.optimize_target |   [1/30] Sharpe=1.05 收益=16.68% 交易=351
2026-06-04 16:39:34,526 [INFO] scripts.optimize_target |   [2/30] Sharpe=-2.06 收益=-16.82% 交易=91
2026-06-04 16:39:34,526 [INFO] scripts.optimize_target |   [3/30] Sharpe=0.23 收益=9.04% 交易=228
2026-06-04 16:39:34,526 [INFO] scripts.optimize_target |   [4/30] Sharpe=-0.63 收益=-12.61% 交易=136
2026-06-04 16:39:34,526 [INFO] scripts.optimize_target |   [5/30] Sharpe=4.43 收益=159.07% 交易=482
2026-06-04 16:39:34,526 [INFO] scripts.optimize_target |   [6/30] Sharpe=1.49 收益=24.75% 交易=358
2026-06-04 16:39:34,526 [INFO] scripts.optimize_target |   [7/30] Sharpe=0.96 收益=40.38% 交易=379
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [8/30] Sharpe=0.67 收益=32.20% 交易=332
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [9/30] Sharpe=-1.55 收益=-16.58% 交易=119
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [10/30] Sharpe=2.37 收益=43.34% 交易=425
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [11/30] Sharpe=4.08 收益=145.73% 交易=482
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [12/30] Sharpe=3.59 收益=59.03% 交易=704
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [13/30] Sharpe=-0.24 收益=-0.26% 交易=521
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [14/30] Sharpe=2.07 收益=112.91% 交易=489
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [15/30] Sharpe=1.61 收益=60.88% 交易=301
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [16/30] Sharpe=-0.89 收益=-18.30% 交易=481
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [17/30] Sharpe=0.26 收益=7.41% 交易=208
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [18/30] Sharpe=-0.68 收益=-9.21% 交易=386
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [19/30] Sharpe=2.28 收益=33.26% 交易=464
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [20/30] Sharpe=-0.99 收益=-10.16% 交易=530
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [21/30] Sharpe=9.03 收益=316.27% 交易=615
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [22/30] Sharpe=4.62 收益=99.58% 交易=487
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [23/30] Sharpe=1.33 收益=49.69% 交易=410
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [24/30] Sharpe=3.01 收益=54.83% 交易=703
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [25/30] Sharpe=-0.53 收益=-8.38% 交易=143
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [26/30] Sharpe=1.63 收益=82.46% 交易=321
2026-06-04 16:39:34,527 [INFO] scripts.optimize_target |   [27/30] Sharpe=-1.50 收益=-17.18% 交易=119
2026-06-04 16:39:34,528 [INFO] scripts.optimize_target |   [28/30] Sharpe=-0.38 收益=-4.35% 交易=265
2026-06-04 16:39:34,528 [INFO] scripts.optimize_target |   [29/30] Sharpe=-1.28 收益=-17.15% 交易=247
2026-06-04 16:39:34,528 [INFO] scripts.optimize_target |   [30/30] Sharpe=-0.06 收益=0.48% 交易=164
2026-06-04 16:39:34,552 [INFO] scripts.optimize_target | 总交易数: 21960 笔
2026-06-04 16:39:37,668 [INFO] scripts.optimize_target | 纸带已写入: outputs\optimize_target\paper_tape.parquet (21960 笔交易)
2026-06-04 16:39:37,669 [INFO] scripts.optimize_target | 参数组合已写入: outputs\optimize_target\run_params.json
2026-06-04 16:39:37,670 [INFO] scripts.optimize_target | 元数据已写入: outputs\optimize_target\meta.json
2026-06-04 16:39:37,670 [INFO] scripts.optimize_target | 
============================================================
2026-06-04 16:39:37,670 [INFO] scripts.optimize_target | 纸带包含 21960 笔交易
2026-06-04 16:39:37,670 [INFO] scripts.optimize_target | 运行时将实时归因 —— 打字机模式自进化
2026-06-04 16:39:37,670 [INFO] scripts.optimize_target | ============================================================
2026-06-04 16:49:53,003 [INFO] scripts.optimize_target | ============================================================
2026-06-04 16:49:53,003 [INFO] scripts.optimize_target | 打字机初始化采样
2026-06-04 16:49:53,004 [INFO] scripts.optimize_target |   区间: 2019-01-01 ~ 2026-06-04
2026-06-04 16:49:53,004 [INFO] scripts.optimize_target |   参数数: 7
2026-06-04 16:49:53,004 [INFO] scripts.optimize_target |   采样组数: 30
2026-06-04 16:49:53,004 [INFO] scripts.optimize_target |   并行进程: 3
2026-06-04 16:49:53,004 [INFO] scripts.optimize_target | ============================================================
2026-06-04 16:49:53,014 [INFO] scripts.optimize_target | 已生成 30 组随机参数
2026-06-04 18:07:11,973 [INFO] scripts.optimize_target |   [1/30] Sharpe=-0.47 收益=-15.32% 交易=502
2026-06-04 18:07:11,974 [INFO] scripts.optimize_target |   [2/30] Sharpe=-0.62 收益=-13.01% 交易=905
2026-06-04 18:07:11,974 [INFO] scripts.optimize_target |   [3/30] Sharpe=1.54 收益=1579.73% 交易=2653
2026-06-04 18:07:11,974 [INFO] scripts.optimize_target |   [4/30] Sharpe=-1.08 收益=-17.70% 交易=627
2026-06-04 18:07:11,974 [INFO] scripts.optimize_target |   [5/30] Sharpe=-0.63 收益=-11.70% 交易=227
2026-06-04 18:07:11,974 [INFO] scripts.optimize_target |   [6/30] Sharpe=-0.25 收益=-4.75% 交易=241
2026-06-04 18:07:11,974 [INFO] scripts.optimize_target |   [7/30] Sharpe=-0.18 收益=-1.19% 交易=961
2026-06-04 18:07:11,974 [INFO] scripts.optimize_target |   [8/30] Sharpe=-0.62 收益=-9.03% 交易=83
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [9/30] Sharpe=-0.56 收益=-15.68% 交易=1536
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [10/30] Sharpe=-0.47 收益=-6.23% 交易=122
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [11/30] Sharpe=2.70 收益=1602.39% 交易=2845
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [12/30] Sharpe=-0.65 收益=-9.05% 交易=104
2026-06-04 18:07:11,975 [INFO] scripts.optimize_target |   [13/30] Sharpe=-0.95 收益=-9.05% 交易=90
