date,state,n_holdings,n_after_stop,n_stop_losses,period_return,turnover,turnover_cost,holdings
2019-10-31,unknown,20,16,4,-0.0295,1.0,0.0015,"000009,000007,000026,000012,000002,000039,000014,000011,000035,000042,000027,000030,000032,000019,000025,000006"
2019-11-29,unknown,20,20,0,8.1991,0.25,0.000375,"000012,000011,000017,000045,000021,000042,000006,000036,000009,000027,000002,000019,000007,000039,000030,000014,000020,000025,000032,000048"
2019-12-31,unknown,20,15,5,-2.9569,0.4,0.0006,"000030,000006,000002,000027,000025,000028,000032,000020,000014,000049,000036,000007,000034,000026,000045"
2020-02-28,unknown,20,7,13,-9.4881,0.3,0.00045,"000034,000021,000032,000026,000048,000045,000009"
2020-03-31,unknown,16,13,3,5.7471,0.6429,0.000964,"000021,000034,000032,000009,000026,000001,000012,000037,000031,000008,000048,000030,000019"
2020-04-30,unknown,20,14,6,0.4432,0.5,0.00075,"000032,000021,000037,000012,000009,000049,000001,000027,000042,000026,000007,000025,000034,000036"
2020-05-29,unknown,20,19,1,11.0466,0.2857,0.000429,"000009,000021,000048,000032,000042,000019,000014,000049,000025,000036,000045,000007,000012,000011,000037,000020,000026,000001,000017"
2020-06-30,unknown,20,20,0,19.8551,0.2368,0.000355,"000037,000026,000007,000032,000049,000012,000035,000009,000048,000045,000042,000021,000030,000036,000028,000019,000014,000031,000034,000011"
2020-07-31,unknown,20,19,1,-3.3531,0.2,0.0003,"000032,000049,000021,000034,000036,000019,000011,000030,000048,000009,000025,000037,000014,000045,000035,000002,000031,000008,000026"
2020-08-31,unknown,20,20,0,-6.3319,0.2368,0.000355,"000007,000039,000049,000028,000019,000021,000011,000026,000014,000032,000030,000036,000048,000045,000037,000001,000020,000009,000025,000034"
2020-09-30,unknown,20,18,2,0.069,0.25,0.000375,"000039,000034,000002,000001,000048,000026,000021,000009,000012,000045,000020,000007,000019,000030,000028,000025,000027,000014"
2020-10-30,unknown,20,19,1,1.5789,0.2778,0.000417,"000012,000001,000034,000048,000039,000009,000028,000036,000045,000007,000017,000002,000025,000049,000042,000019,000032,000014,000020"
2020-11-30,unknown,20,15,5,-2.8753,0.2368,0.000355,"000001,000009,000030,000002,000028,000039,000027,000049,000012,000019,000036,000032,000017,000045,000011"
2020-12-31,unknown,20,14,6,-3.8551,0.4333,0.00065,"000012,000001,000039,000002,000030,000045,000011,000021,000048,000019,000009,000032,000027,000026"
2021-01-29,bull,20,17,3,8.7532,0.2857,0.000429,"000001,000049,000039,000012,000009,000030,000026,000035,000021,000048,000017,000002,000045,000011,000006,000032,000019"
2021-02-26,bull,20,18,2,10.2258,0.2647,0.000397,"000027,000049,000026,000009,000001,000012,000030,000039,000045,000017,000019,000011,000037,000008,000002,000021,000006,000020"
2021-03-31,range,20,18,2,-0.5966,0.2222,0.000333,"000009,000032,000030,000027,000026,000017,000042,000012,000049,000039,000001,000002,000019,000048,000021,000020,000045,000011"
2021-04-30,range,20,16,4,0.0599,0.1667,0.00025,"000009,000012,000039,000017,000026,000030,000045,000001,000027,000049,000020,000032,000034,000021,000019,000008"
2021-05-31,bull,20,17,3,4.1014,0.3125,0.000469,"000009,000027,000035,000012,000045,000001,000039,000017,000014,000025,000026,000020,000030,000011,000021,000032,000036"
2021-06-30,bull,20,16,4,-4.471,0.2647,0.000397,"000039,000034,000009,000045,000012,000027,000001,000017,000007,000020,000035,000025,000026,000019,000011,000030"
